iterations,auction_name,recipe,num_of_agents,mean_optimal_count,mean_auction_count,count_ratio,mean_optimal_gft,mean_auction_total_gft,total_gft_ratio,mean_auction_market_gft,market_gft_ratio
50000,McAfee,1:1,2,0.99,0.58,58.37,397.05,306.46,77.18,274.0,69.01
50000,McAfee,1:1,3,1.49,1.08,72.05,640.64,564.28,88.08,512.81,80.05
50000,McAfee,1:1,4,2.0,1.57,78.45,889.27,822.17,92.45,746.06,83.9
50000,McAfee,1:1,5,2.49,2.04,82.13,1129.56,1068.62,94.61,972.36,86.08
50000,McAfee,1:1,10,4.99,4.52,90.47,2374.1,2335.34,98.37,2178.85,91.78
50000,McAfee,1:1,15,7.5,7.02,93.56,3621.79,3593.72,99.22,3410.89,94.18
50000,McAfee,1:1,25,12.5,12.02,96.11,6121.18,6103.31,99.71,5897.54,96.35
50000,McAfee,1:1,50,24.99,24.49,98.02,12357.15,12347.66,99.92,12119.88,98.08
50000,McAfee,1:1,100,50.0,49.5,98.99,24847.28,24842.35,99.98,24600.93,99.01
50000,McAfee,1:1,500,249.98,249.48,99.79,124731.11,124730.11,100.0,124482.61,99.8
50000,McAfee,1:1,1000,500.02,499.52,99.89,249609.92,249609.42,100.0,249358.73,99.9
50000,SBB External Competition,1:1,2,1.0,0.5,50.17,401.45,251.69,62.69,251.69,62.69
50000,SBB External Competition,1:1,3,1.51,1.0,66.53,644.71,501.25,77.75,501.25,77.75
50000,SBB External Competition,1:1,4,2.0,1.5,74.97,885.38,747.16,84.39,747.16,84.39
50000,SBB External Competition,1:1,5,2.5,2.0,80.04,1135.66,999.74,88.03,999.74,88.03
50000,SBB External Competition,1:1,10,5.0,4.5,90.01,2375.53,2245.5,94.53,2245.5,94.53
50000,SBB External Competition,1:1,15,7.5,7.0,93.37,3628.14,3499.81,96.46,3499.81,96.46
50000,SBB External Competition,1:1,25,12.5,12.0,96.0,6120.83,5993.38,97.92,5993.38,97.92
50000,SBB External Competition,1:1,50,25.0,24.5,98.0,12363.73,12237.6,98.98,12237.6,98.98
50000,SBB External Competition,1:1,100,49.99,49.49,98.99,24842.13,24716.45,99.49,24716.45,99.49
50000,SBB External Competition,1:1,500,249.98,249.48,99.8,124749.33,124624.46,99.9,124624.46,99.9
50000,SBB External Competition,1:1,1000,499.94,499.44,99.9,249587.59,249463.38,99.95,249463.38,99.95
50000,SBB Ascending Prices,1:1,2,1.0,0.5,49.68,400.05,249.08,62.26,249.08,62.26
50000,SBB Ascending Prices,1:1,3,1.5,1.0,66.84,643.92,501.82,77.93,501.82,77.93
50000,SBB Ascending Prices,1:1,4,2.0,1.5,74.96,888.53,749.6,84.36,749.6,84.36
50000,SBB Ascending Prices,1:1,5,2.5,2.0,79.99,1134.54,998.57,88.01,998.57,88.01
50000,SBB Ascending Prices,1:1,10,5.0,4.5,90.08,2381.89,2252.02,94.55,2252.02,94.55
50000,SBB Ascending Prices,1:1,15,7.49,6.99,93.31,3622.45,3493.47,96.44,3493.47,96.44
50000,SBB Ascending Prices,1:1,25,12.53,12.03,95.99,6134.72,6007.04,97.92,6007.04,97.92
50000,SBB Ascending Prices,1:1,50,24.98,24.48,98.02,12357.51,12233.01,98.99,12233.01,98.99
50000,SBB Ascending Prices,1:1,100,49.98,49.48,99.0,24835.57,24710.33,99.5,24710.33,99.5
50000,SBB Ascending Prices,1:1,500,249.98,249.48,99.79,124744.26,124619.01,99.9,124619.01,99.9
50000,SBB Ascending Prices,1:1,1000,500.02,499.52,99.89,249661.77,249535.75,99.95,249535.75,99.95
50000,McAfeeWithoutHeuristic,1:1,2,1.0,0.17,16.67,399.05,99.6,24.96,66.12,16.57
50000,McAfeeWithoutHeuristic,1:1,3,1.5,0.55,36.76,642.82,337.18,52.45,215.69,33.55
50000,McAfeeWithoutHeuristic,1:1,4,2.0,1.02,50.72,890.23,615.27,69.11,400.47,44.98
50000,McAfeeWithoutHeuristic,1:1,5,2.5,1.51,60.21,1134.47,897.45,79.11,606.03,53.42
50000,McAfeeWithoutHeuristic,1:1,10,4.99,3.99,79.97,2376.81,2241.87,94.32,1745.93,73.46
50000,McAfeeWithoutHeuristic,1:1,15,7.5,6.5,86.67,3630.46,3537.33,97.43,2961.93,81.59
50000,McAfeeWithoutHeuristic,1:1,25,12.51,11.51,92.0,6124.76,6067.28,99.06,5424.6,88.57
50000,McAfeeWithoutHeuristic,1:1,50,25.0,24.0,95.99,12357.27,12328.0,99.76,11635.43,94.16
50000,McAfeeWithoutHeuristic,1:1,100,49.98,48.98,97.99,24845.91,24831.07,99.94,24109.3,97.04
50000,McAfeeWithoutHeuristic,1:1,500,250.04,249.04,99.6,124771.31,124768.32,100.0,124024.67,99.4
50000,McAfeeWithoutHeuristic,1:1,1000,499.99,498.99,99.79,249627.37,249625.87,100.0,248875.53,99.7
