n,k,mcafeek,mcafeetgft,mcafeemgft,extcompk,extcompgft,ascpricek,ascpricegft,mcafeenhk,mcafeenhtgft,mcafeenhmgft
2,0.99,0.58,77.18,69.01,0.5,62.69,0.5,62.26,0.17,24.96,16.57
3,1.49,1.08,88.08,80.05,1,77.75,1,77.93,0.55,52.45,33.55
4,2,1.57,92.45,83.9,1.5,84.39,1.5,84.36,1.02,69.11,44.98
5,2.49,2.04,94.61,86.08,2,88.03,2,88.01,1.51,79.11,53.42
10,4.99,4.52,98.37,91.78,4.5,94.53,4.5,94.55,3.99,94.32,73.46
15,7.5,7.02,99.22,94.18,7,96.46,6.99,96.44,6.5,97.43,81.59
25,12.5,12.02,99.71,96.35,12,97.92,12.03,97.92,11.51,99.06,88.57
50,24.99,24.49,99.92,98.08,24.5,98.98,24.48,98.99,24,99.76,94.16
100,50,49.5,99.98,99.01,49.49,99.49,49.48,99.5,48.98,99.94,97.04
500,249.98,249.48,100,99.8,249.48,99.9,249.48,99.9,249.04,100,99.4
1000,500.02,499.52,100,99.9,499.44,99.95,499.52,99.95,498.99,100,99.7
